-3.5 8.23e-03 6.65e-01 3.18e-01 8.89e-03 2.48e-04 1.81e-06 1.49e-10 3.42e-15
-3.4 5.59e-03 5.66e-01 4.11e-01 1.67e-02 5.29e-04 5.35e-06 6.73e-10 2.33e-14
-3.3 3.63e-03 4.59e-01 5.06e-01 2.98e-02 1.10e-03 1.50e-05 2.88e-09 1.50e-13
-3.2 2.24e-03 3.55e-01 5.90e-01 5.00e-02 2.19e-03 3.99e-05 1.16e-08 9.05e-13
-3.1 1.32e-03 2.63e-01 6.53e-01 7.88e-02 4.22e-03 1.00e-04 4.41e-08 5.11e-12
-3.0 7.49e-04 1.86e-01 6.88e-01 1.17e-01 7.79e-03 2.40e-04 1.58e-07 2.71e-11
-2.9 4.10e-04 1.28e-01 6.93e-01 1.64e-01 1.38e-02 5.46e-04 5.35e-07 1.34e-10
-2.8 2.18e-04 8.50e-02 6.71e-01 2.19e-01 2.35e-02 1.19e-03 1.72e-06 6.27e-10
-2.7 1.13e-04 5.52e-02 6.26e-01 2.78e-01 3.82e-02 2.48e-03 5.25e-06 2.75e-09
-2.6 5.69e-05 3.50e-02 5.63e-01 3.37e-01 5.93e-02 4.98e-03 1.52e-05 1.13e-08
-2.5 2.81e-05 2.17e-02 4.90e-01 3.91e-01 8.83e-02 9.58e-03 4.18e-05 4.36e-08
-2.4 1.35e-05 1.31e-02 4.11e-01 4.33e-01 1.25e-01 1.77e-02 1.09e-04 1.58e-07
-2.3 6.35e-06 7.74e-03 3.32e-01 4.59e-01 1.70e-01 3.12e-02 2.68e-04 5.32e-07
-2.2 2.90e-06 4.44e-03 2.58e-01 4.65e-01 2.20e-01 5.26e-02 6.21e-04 1.67e-06
-2.1 1.28e-06 2.48e-03 1.93e-01 4.49e-01 2.70e-01 8.43e-02 1.36e-03 4.91e-06
-2.0 5.49e-07 1.33e-03 1.38e-01 4.13e-01 3.17e-01 1.28e-01 2.78e-03 1.34e-05
-1.9 2.26e-07 6.93e-04 9.41e-02 3.62e-01 3.52e-01 1.85e-01 5.36e-03 3.40e-05
-1.8 8.98e-08 3.46e-04 6.15e-02 3.02e-01 3.73e-01 2.53e-01 9.68e-03 8.03e-05
