-2.9 2.54e-04 1.13e-01 7.41e-01 1.23e-01 2.33e-02 5.56e-05 3.05e-08
-2.8 1.56e-04 8.67e-02 7.10e-01 1.64e-01 3.83e-02 1.36e-04 1.10e-07
-2.7 9.24e-05 6.45e-02 6.62e-01 2.11e-01 6.16e-02 3.23e-04 3.79e-07
-2.6 5.31e-05 4.64e-02 5.97e-01 2.60e-01 9.59e-02 7.36e-04 1.24e-06
-2.5 2.93e-05 3.21e-02 5.18e-01 3.04e-01 1.43e-01 1.59e-03 3.81e-06
-2.4 1.55e-05 2.13e-02 4.32e-01 3.39e-01 2.05e-01 3.25e-03 1.09e-05
-2.3 7.85e-06 1.36e-02 3.44e-01 3.58e-01 2.78e-01 6.24e-03 2.91e-05
-2.2 3.80e-06 8.25e-03 2.63e-01 3.58e-01 3.59e-01 1.12e-02 7.19e-05
-2.1 1.77e-06 4.81e-03 1.93e-01 3.42e-01 4.41e-01 1.90e-02 1.65e-04
-2.0 7.89e-07 2.70e-03 1.36e-01 3.13e-01 5.17e-01 3.04e-02 3.54e-04
-1.9 3.41e-07 1.47e-03 9.30e-02 2.76e-01 5.83e-01 4.62e-02 7.15e-04
-1.8 1.43e-07 7.76e-04 6.17e-02 2.35e-01 6.34e-01 6.71e-02 1.37e-03
-1.7 5.87e-08 4.00e-04 4.00e-02 1.95e-01 6.69e-01 9.36e-02 2.50e-03
-1.6 2.35e-08 2.01e-04 2.53e-02 1.57e-01 6.87e-01 1.26e-01 4.36e-03
-1.5 9.22e-09 9.93e-05 1.57e-02 1.24e-01 6.88e-01 1.64e-01 7.35e-03
-1.4 3.55e-09 4.81e-05 9.58e-03 9.58e-02 6.74e-01 2.08e-01 1.20e-02
-1.3 1.34e-09 2.28e-05 5.72e-03 7.25e-02 6.46e-01 2.57e-01 1.89e-02
-1.2 4.95e-10 1.06e-05 3.35e-03 5.37e-02 6.05e-01 3.09e-01 2.90e-02
-1.1 1.79e-10 4.84e-06 1.92e-03 3.90e-02 5.54e-01 3.62e-01 4.32e-02
-1.0 6.36e-11 2.16e-06 1.08e-03 2.76e-02 4.96e-01 4.12e-01 6.26e-02
-0.9 2.19e-11 9.38e-07 5.91e-04 1.91e-02 4.34e-01 4.58e-01 8.83e-02
-0.8 7.43e-12 4.00e-07 3.17e-04 1.29e-02 3.70e-01 4.96e-01 1.21e-01
-0.7 2.45e-12 1.66e-07 1.66e-04 8.54e-03 3.08e-01 5.23e-01 1.61e-01
-0.6 7.92e-13 6.75e-08 8.47e-05 5.49e-03 2.50e-01 5.36e-01 2.09e-01
-0.5 2.49e-13 2.67e-08 4.22e-05 3.45e-03 1.97e-01 5.36e-01 2.63e-01
-0.4 7.64e-14 1.03e-08 2.05e-05 2.11e-03 1.52e-01 5.22e-01 3.24e-01
-0.3 2.29e-14 3.90e-09 9.75e-06 1.26e-03 1.15e-01 4.96e-01 3.88e-01
-0.2 6.69e-15 1.43e-09 4.52e-06 7.38e-04 8.44e-02 4.61e-01 4.54e-01
-0.1 1.92e-15 5.18e-10 2.05e-06 4.22e-04 6.08e-02 4.19e-01 5.20e-01
0.0 5.41e-16 1.83e-10 9.15e-07 2.37e-04 4.30e-02 3.73e-01 5.84e-01
0.1 1.50e-16 6.39e-11 4.01e-07 1.31e-04 2.99e-02 3.26e-01 6.44e-01
0.2 4.07e-17 2.19e-11 1.73e-07 7.11e-05 2.04e-02 2.81e-01 6.98e-01
0.3 1.09e-17 7.41e-12 7.37e-08 3.81e-05 1.38e-02 2.39e-01 7.47e-01
0.4 2.91e-18 2.48e-12 3.10e-08 2.02e-05 9.19e-03 2.01e-01 7.90e-01
0.5 7.64e-19 8.19e-13 1.29e-08 1.06e-05 6.07e-03 1.67e-01 8.27e-01
0.6 1.99e-19 2.69e-13 5.34e-09 5.50e-06 3.97e-03 1.38e-01 8.58e-01
0.7 5.16e-20 8.77e-14 2.19e-09 2.84e-06 2.58e-03 1.13e-01 8.85e-01
0.8 1.33e-20 2.84e-14 8.93e-10 1.46e-06 1.67e-03 9.16e-02 9.07e-01
0.9 3.40e-21 9.16e-15 3.63e-10 7.46e-07 1.07e-03 7.42e-02 9.25e-01
