i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08
1        0 3.240e+04 7.100e+07 8.460e-02 6.230e+00 5.95e-11 6.55e-07 0.000372   0.0148   0.0673    0.574    0.309   0.0341
1        0 3.600e+04 7.100e+07 1.140e-01 8.430e+00 1.92e-11 2.31e-07 0.000143  0.00717   0.0403    0.499    0.391   0.0624
1        0 4.150e+04 7.100e+07 1.550e-01 1.140e+01 6.48e-12 8.17e-08 5.29e-05  0.00315   0.0217      0.4    0.465     0.11
1        0 4.970e+04 7.100e+07 2.100e-01 1.540e+01 2.15e-12 2.77e-08 1.81e-05  0.00121   0.0102    0.289    0.514    0.185
1        0 6.330e+04 7.100e+07 2.840e-01 2.090e+01 5.97e-13 7.92e-09 5.19e-06 0.000372  0.00398    0.182    0.518    0.295
1        0 8.250e+04 7.100e+07 3.840e-01 2.820e+01 1.02e-13 1.55e-09 1.12e-06 9.14e-05  0.00135    0.101    0.468     0.43
1        0 1.030e+05 7.100e+07 5.190e-01 3.820e+01 1.13e-14 2.18e-10 1.96e-07 2.05e-05 0.000443   0.0532    0.388    0.559
1        0 1.240e+05 7.100e+07 7.020e-01 5.170e+01 1.01e-15 2.62e-11 3.15e-08 4.49e-06 0.000145   0.0271    0.303    0.669
1        0 1.360e+05 7.100e+07 9.500e-01 7.000e+01 1.13e-16 3.65e-12 5.95e-09 1.17e-06  5.4e-05   0.0146    0.236    0.749
1        0 1.450e+05 7.100e+07 1.290e+00 9.470e+01 4.15e-17 5.24e-13 1.16e-09 3.13e-07 2.06e-05   0.0079    0.181    0.811
1        0 1.710e+05 7.100e+07 1.740e+00 1.280e+02 1.12e-17 4.98e-14 1.56e-10 6.13e-08 6.21e-06  0.00367    0.128    0.868
1        0 2.210e+05 7.100e+07 2.350e+00 1.730e+02    1e-20 2.86e-15 1.39e-11 8.69e-09 1.51e-06  0.00148   0.0836    0.915
1        0 2.710e+05 7.100e+07 3.190e+00 2.350e+02    1e-20 1.51e-16 1.38e-12 1.38e-09 3.98e-07 0.000626   0.0554    0.944
1        0 3.150e+05 7.100e+07 4.310e+00 3.170e+02 1.73e-18 2.27e-17 1.65e-13 2.55e-10 1.17e-07 0.000282   0.0376    0.962
1        1 3.010e+05 7.100e+07 5.830e+00 4.290e+02    1e-20    1e-20 4.55e-14 8.98e-11 5.29e-08 0.000165   0.0289    0.971
1        0 3.030e+05 7.100e+07 7.890e+00 5.810e+02    3e-18  1.5e-17 1.01e-14 2.66e-11 2.13e-08 9.03e-05   0.0215    0.978
1        0 3.400e+05 7.100e+07 1.070e+01 7.860e+02 2.36e-18 1.15e-17  1.4e-15 5.41e-12 6.65e-09  4.2e-05   0.0147    0.985
1        0 3.560e+05 7.100e+07 1.440e+01 1.060e+03  1.3e-18 6.31e-18 2.76e-16  1.4e-12 2.44e-09 2.16e-05   0.0106    0.989
1        1 2.310e+05 7.100e+07 1.950e+01 1.440e+03 1.43e-18 6.95e-18 3.69e-16 1.75e-12  2.6e-09 2.18e-05   0.0106    0.989
1        0 2.570e+05 7.100e+07 2.640e+01 1.950e+03    1e-20    1e-20 3.94e-17 3.71e-13  8.3e-10 1.03e-05  0.00728    0.993
1        0 3.590e+05 7.100e+07 3.580e+01 2.630e+03    1e-20    1e-20    1e-20 3.67e-14  1.6e-10 3.51e-06  0.00428    0.996
1        0 6.840e+05 7.100e+07 4.840e+01 3.570e+03 2.58e-19 1.25e-18 5.64e-18 1.35e-15  1.7e-11 7.64e-07  0.00199    0.998
1        0 1.870e+06 7.100e+07 6.550e+01 4.820e+03    1e-20    1e-20    1e-20  1.2e-16  8.2e-12 2.28e-07 0.000688    0.999
