i converge       t_e       t_r        ip        xi      i01      i02      i03
1        0 7.430e+06 7.100e+07 1.620e+02 1.190e+04 3.35e-17 1.24e-08      1.0
1        0 9.360e+06 7.100e+07 2.200e+02 1.620e+04 1.01e-17 6.83e-09      1.0
1        1 1.060e+07 7.100e+07 2.970e+02 2.190e+04    4e-18  4.3e-09      1.0
1        2 1.060e+07 7.100e+07 4.020e+02 2.960e+04 2.21e-18  3.2e-09      1.0
1        2 1.060e+07 7.100e+07 5.440e+02 4.010e+04 1.22e-18 2.38e-09      1.0
1        2 1.060e+07 7.100e+07 7.360e+02 5.420e+04 6.65e-19 1.77e-09      1.0
1        2 1.060e+07 7.100e+07 9.960e+02 7.330e+04 3.65e-19 1.31e-09      1.0
1        2 1.060e+07 7.100e+07 1.350e+03 9.920e+04    2e-19 9.69e-10      1.0
1        2 1.060e+07 7.100e+07 1.820e+03 1.340e+05 1.09e-19 7.18e-10      1.0
1        2 1.060e+07 7.100e+07 2.470e+03 1.820e+05 5.98e-20 5.31e-10      1.0
1        2 1.060e+07 7.100e+07 3.340e+03 2.460e+05 3.27e-20 3.93e-10      1.0
1        2 1.060e+07 7.100e+07 4.520e+03 3.320e+05 1.07e-20 2.91e-10      1.0
1        2 1.060e+07 7.100e+07 6.110e+03 4.500e+05 1.03e-26 2.15e-10      1.0
1        2 1.060e+07 7.100e+07 8.270e+03 6.090e+05 1.03e-26 1.59e-10      1.0
1        2 1.060e+07 7.100e+07 1.120e+04 8.230e+05 1.03e-26 1.17e-10      1.0
1        2 1.060e+07 7.100e+07 1.510e+04 1.110e+06 1.03e-26 8.68e-11      1.0
1        2 1.060e+07 7.100e+07 2.050e+04 1.510e+06 1.03e-26 6.41e-11      1.0
1        2 1.060e+07 7.100e+07 2.770e+04 2.040e+06 1.03e-26 4.74e-11      1.0
1        2 1.060e+07 7.100e+07 3.750e+04 2.760e+06 1.03e-26  3.5e-11      1.0
1        2 1.060e+07 7.100e+07 5.070e+04 3.730e+06 1.03e-26 2.59e-11      1.0
1        2 1.060e+07 7.100e+07 6.860e+04 5.050e+06 1.03e-26 1.91e-11      1.0
1        2 1.060e+07 7.100e+07 9.290e+04 6.840e+06 1.03e-26 1.41e-11      1.0
1        2 1.060e+07 7.100e+07 1.260e+05 9.250e+06 1.03e-26 1.05e-11      1.0
1        2 1.060e+07 7.100e+07 1.700e+05 1.250e+07 1.03e-26 7.72e-12      1.0
1        2 1.060e+07 7.100e+07 2.300e+05 1.690e+07 1.03e-26 5.71e-12      1.0
1        2 1.060e+07 7.100e+07 3.110e+05 2.290e+07 1.03e-26 4.22e-12      1.0
1        2 1.060e+07 7.100e+07 4.210e+05 3.100e+07 1.03e-26 3.11e-12      1.0
1        2 1.060e+07 7.100e+07 5.700e+05 4.200e+07 1.03e-26  2.3e-12      1.0
1        2 1.060e+07 7.100e+07 7.710e+05 5.680e+07 1.03e-26  1.7e-12      1.0
1        2 1.060e+07 7.100e+07 1.040e+06 7.680e+07 1.03e-26 1.26e-12      1.0
1        2 1.060e+07 7.100e+07 1.410e+06 1.040e+08 1.03e-26 9.27e-13      1.0
1        2 1.060e+07 7.100e+07 1.910e+06 1.410e+08 1.03e-26 6.85e-13      1.0
1        2 1.060e+07 7.100e+07 2.580e+06 1.900e+08 1.03e-26 5.06e-13      1.0
1        2 1.060e+07 7.100e+07 3.500e+06 2.570e+08 1.03e-26 3.73e-13      1.0
1        2 1.060e+07 7.100e+07 4.730e+06 3.480e+08 1.03e-26 2.76e-13      1.0
