i converge       t_e       t_r        ip        xi      i01   i02
1        3 1.040e+04 7.090e+07 3.340e+03 2.460e+05 2.69e-09   1.0
1        3 1.040e+04 7.090e+07 4.520e+03 3.320e+05 1.98e-09   1.0
1        3 1.040e+04 7.090e+07 6.120e+03 4.500e+05 1.45e-09   1.0
1        3 1.040e+04 7.090e+07 8.280e+03 6.090e+05 1.06e-09   1.0
1        3 1.040e+04 7.090e+07 1.120e+04 8.230e+05  7.8e-10   1.0
1        3 1.040e+04 7.090e+07 1.510e+04 1.110e+06 5.72e-10   1.0
1        3 1.040e+04 7.090e+07 2.050e+04 1.510e+06 4.19e-10   1.0
1        3 1.040e+04 7.090e+07 2.770e+04 2.040e+06 3.07e-10   1.0
1        3 1.040e+04 7.090e+07 3.750e+04 2.760e+06 2.25e-10   1.0
1        3 1.040e+04 7.090e+07 5.070e+04 3.730e+06 1.64e-10   1.0
1        3 1.040e+04 7.090e+07 6.870e+04 5.050e+06  1.2e-10   1.0
1        3 1.040e+04 7.090e+07 9.290e+04 6.830e+06 8.78e-11   1.0
1        3 1.040e+04 7.090e+07 1.260e+05 9.250e+06 6.41e-11   1.0
1        3 1.040e+04 7.090e+07 1.700e+05 1.250e+07 4.68e-11   1.0
1        3 1.040e+04 7.090e+07 2.300e+05 1.690e+07 3.41e-11   1.0
1        3 1.040e+04 7.090e+07 3.110e+05 2.290e+07 2.49e-11   1.0
1        3 1.040e+04 7.090e+07 4.210e+05 3.100e+07 1.81e-11   1.0
1        3 1.040e+04 7.090e+07 5.700e+05 4.200e+07 1.32e-11   1.0
1        3 1.040e+04 7.090e+07 7.720e+05 5.680e+07 9.61e-12   1.0
1        3 1.040e+04 7.090e+07 1.040e+06 7.680e+07 6.99e-12   1.0
1        3 1.040e+04 7.090e+07 1.410e+06 1.040e+08 5.08e-12   1.0
1        3 1.040e+04 7.090e+07 1.910e+06 1.410e+08 3.69e-12   1.0
1        3 1.040e+04 7.090e+07 2.590e+06 1.900e+08 2.68e-12   1.0
1        3 1.040e+04 7.090e+07 3.500e+06 2.570e+08 1.94e-12   1.0
1        3 1.040e+04 7.090e+07 4.730e+06 3.480e+08 1.41e-12   1.0
