i converge       t_e       t_r        ip        xi      i01      i02      i03
1        2 9.750e+05 7.090e+07 2.190e+02 1.620e+04 1.38e-15 9.39e-08      1.0
1        2 9.750e+05 7.090e+07 2.970e+02 2.190e+04 7.55e-16 6.96e-08      1.0
1        2 9.750e+05 7.090e+07 4.020e+02 2.960e+04 4.14e-16 5.15e-08      1.0
1        2 9.750e+05 7.090e+07 5.440e+02 4.000e+04 2.26e-16 3.81e-08      1.0
1        2 9.750e+05 7.090e+07 7.360e+02 5.420e+04 1.24e-16 2.82e-08      1.0
1        2 9.750e+05 7.090e+07 9.950e+02 7.330e+04 6.76e-17 2.08e-08      1.0
1        2 9.750e+05 7.090e+07 1.350e+03 9.920e+04 3.69e-17 1.54e-08      1.0
1        2 9.750e+05 7.090e+07 1.820e+03 1.340e+05 2.01e-17 1.14e-08      1.0
1        2 9.750e+05 7.090e+07 2.460e+03 1.820e+05  1.1e-17 8.41e-09      1.0
1        2 9.750e+05 7.090e+07 3.330e+03 2.460e+05 5.99e-18 6.22e-09      1.0
1        2 9.750e+05 7.090e+07 4.510e+03 3.320e+05 3.26e-18  4.6e-09      1.0
1        2 9.750e+05 7.090e+07 6.110e+03 4.500e+05 1.78e-18  3.4e-09      1.0
1        2 9.750e+05 7.090e+07 8.260e+03 6.090e+05 9.58e-19 2.51e-09      1.0
1        2 9.750e+05 7.090e+07 1.120e+04 8.230e+05 5.21e-19 1.86e-09      1.0
1        2 9.750e+05 7.090e+07 1.510e+04 1.110e+06 2.83e-19 1.37e-09      1.0
1        2 9.750e+05 7.090e+07 2.050e+04 1.510e+06 1.53e-19 1.01e-09      1.0
1        2 9.750e+05 7.090e+07 2.770e+04 2.040e+06 8.31e-20 7.49e-10      1.0
1        2 9.750e+05 7.090e+07 3.750e+04 2.760e+06 4.49e-20 5.54e-10      1.0
1        2 9.750e+05 7.090e+07 5.070e+04 3.730e+06  1.5e-20 4.09e-10      1.0
1        2 9.750e+05 7.090e+07 6.860e+04 5.050e+06 1.03e-26 3.02e-10      1.0
1        2 9.750e+05 7.090e+07 9.280e+04 6.840e+06 1.03e-26 2.23e-10      1.0
1        2 9.750e+05 7.090e+07 1.260e+05 9.250e+06 1.03e-26 1.65e-10      1.0
1        2 9.750e+05 7.090e+07 1.700e+05 1.250e+07 1.03e-26 1.22e-10      1.0
1        2 9.750e+05 7.090e+07 2.300e+05 1.690e+07 1.03e-26    9e-11      1.0
1        2 9.750e+05 7.090e+07 3.110e+05 2.290e+07 1.03e-26 6.65e-11      1.0
1        2 9.750e+05 7.090e+07 4.210e+05 3.100e+07 1.03e-26 4.91e-11      1.0
1        2 9.750e+05 7.090e+07 5.700e+05 4.200e+07 1.03e-26 3.62e-11      1.0
1        2 9.750e+05 7.090e+07 7.710e+05 5.680e+07 1.03e-26 2.67e-11      1.0
1        2 9.750e+05 7.090e+07 1.040e+06 7.680e+07 1.03e-26 1.97e-11      1.0
1        2 9.750e+05 7.090e+07 1.410e+06 1.040e+08 1.03e-26 1.46e-11      1.0
1        2 9.750e+05 7.090e+07 1.910e+06 1.410e+08 1.03e-26 1.08e-11      1.0
1        2 9.750e+05 7.090e+07 2.580e+06 1.900e+08 1.03e-26 7.93e-12      1.0
1        2 9.750e+05 7.090e+07 3.490e+06 2.570e+08 1.03e-26 5.85e-12      1.0
1        2 9.750e+05 7.090e+07 4.730e+06 3.480e+08 1.03e-26 4.32e-12      1.0
