i converge       t_e       t_r        ip        xi      i01      i02      i03
1        2 9.750e+05 7.090e+07 2.190e+02 1.620e+04 2.07e-15    9e-08      1.0
1        2 9.750e+05 7.090e+07 2.970e+02 2.190e+04 1.13e-15 6.66e-08      1.0
1        2 9.750e+05 7.090e+07 4.020e+02 2.960e+04 6.11e-16 4.93e-08      1.0
1        2 9.750e+05 7.090e+07 5.440e+02 4.000e+04  3.3e-16 3.64e-08      1.0
1        2 9.750e+05 7.090e+07 7.360e+02 5.420e+04 1.78e-16  2.7e-08      1.0
1        2 9.750e+05 7.090e+07 9.950e+02 7.330e+04 9.53e-17 1.99e-08      1.0
1        2 9.750e+05 7.090e+07 1.350e+03 9.920e+04 5.08e-17 1.47e-08      1.0
1        2 9.750e+05 7.090e+07 1.820e+03 1.340e+05 2.69e-17 1.09e-08      1.0
1        2 9.750e+05 7.090e+07 2.460e+03 1.820e+05 1.42e-17 8.05e-09      1.0
1        2 9.750e+05 7.090e+07 3.330e+03 2.460e+05 7.42e-18 5.95e-09      1.0
1        2 9.750e+05 7.090e+07 4.510e+03 3.320e+05 3.86e-18 4.39e-09      1.0
1        2 9.750e+05 7.090e+07 6.110e+03 4.500e+05 1.99e-18 3.24e-09      1.0
1        2 9.750e+05 7.090e+07 8.260e+03 6.090e+05 1.03e-18  2.4e-09      1.0
1        2 9.750e+05 7.090e+07 1.120e+04 8.230e+05 5.33e-19 1.77e-09      1.0
1        2 9.750e+05 7.090e+07 1.510e+04 1.110e+06 2.76e-19 1.31e-09      1.0
1        2 9.750e+05 7.090e+07 2.050e+04 1.510e+06 1.44e-19 9.63e-10      1.0
1        2 9.750e+05 7.090e+07 2.770e+04 2.040e+06 7.51e-20  7.1e-10      1.0
1        2 9.750e+05 7.090e+07 3.750e+04 2.760e+06 3.94e-20 5.23e-10      1.0
1        2 9.750e+05 7.090e+07 5.070e+04 3.730e+06 1.31e-20 3.85e-10      1.0
1        2 9.750e+05 7.090e+07 6.860e+04 5.050e+06 1.03e-26 2.83e-10      1.0
1        2 9.750e+05 7.090e+07 9.280e+04 6.840e+06 1.03e-26 2.08e-10      1.0
1        2 9.750e+05 7.090e+07 1.260e+05 9.250e+06 1.03e-26 1.53e-10      1.0
1        2 9.750e+05 7.090e+07 1.700e+05 1.250e+07 1.03e-26 1.12e-10      1.0
1        2 9.750e+05 7.090e+07 2.300e+05 1.690e+07 1.03e-26 8.23e-11      1.0
1        2 9.750e+05 7.090e+07 3.110e+05 2.290e+07 1.03e-26 6.04e-11      1.0
1        2 9.750e+05 7.090e+07 4.210e+05 3.100e+07 1.03e-26 4.43e-11      1.0
1        2 9.750e+05 7.090e+07 5.700e+05 4.200e+07 1.03e-26 3.25e-11      1.0
1        2 9.750e+05 7.090e+07 7.710e+05 5.680e+07 1.03e-26 2.39e-11      1.0
1        2 9.750e+05 7.090e+07 1.040e+06 7.680e+07 1.03e-26 1.76e-11      1.0
1        2 9.750e+05 7.090e+07 1.410e+06 1.040e+08 1.03e-26 1.29e-11      1.0
1        2 9.750e+05 7.090e+07 1.910e+06 1.410e+08 1.03e-26 9.51e-12      1.0
1        2 9.750e+05 7.090e+07 2.580e+06 1.900e+08 1.03e-26 7.01e-12      1.0
1        2 9.750e+05 7.090e+07 3.490e+06 2.570e+08 1.03e-26 5.16e-12      1.0
1        2 9.750e+05 7.090e+07 4.730e+06 3.480e+08 1.03e-26 3.81e-12      1.0
