i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15
1        3 1.040e+04 7.090e+07 1.230e-03 9.030e-02 0.000114   0.0749    0.215    0.252    0.355   0.0952  0.00719  0.00012  1.7e-07 2.66e-09 3.32e-12 2.02e-13 2.85e-16  1.1e-20    1e-20
1        3 1.040e+04 7.090e+07 1.660e-03 1.220e-01 5.13e-05   0.0447     0.17    0.249    0.385    0.137   0.0136 0.000294 4.92e-07 8.75e-09 1.32e-11 8.81e-13 1.54e-15 7.87e-20    1e-20
1        3 1.040e+04 7.090e+07 2.250e-03 1.650e-01 2.07e-05   0.0243    0.125    0.235    0.399    0.191   0.0256 0.000728 1.47e-06 2.96e-08 5.52e-11 4.03e-12 8.86e-15 6.12e-19    1e-20
1        3 1.040e+04 7.090e+07 3.040e-03 2.240e-01  7.8e-06   0.0123   0.0854    0.208    0.393    0.254   0.0457  0.00173 4.29e-06 9.61e-08 2.24e-10 1.78e-11 4.97e-14 4.63e-18    1e-20
1        3 1.040e+04 7.090e+07 4.120e-03 3.030e-01 2.72e-06   0.0058   0.0543    0.174    0.366    0.319   0.0775   0.0039 1.21e-05 2.99e-07 8.84e-10 7.52e-11 2.69e-13 3.39e-17    1e-20
1        3 1.040e+04 7.090e+07 5.570e-03 4.100e-01 8.75e-07  0.00251   0.0318    0.134    0.321    0.378    0.124  0.00834 3.28e-05 8.88e-07 3.35e-09 3.04e-10 1.41e-12 2.39e-16 1.31e-20
1        3 1.040e+04 7.090e+07 7.540e-03 5.540e-01 2.58e-07    0.001   0.0171   0.0958    0.264     0.42    0.185   0.0168 8.46e-05  2.5e-06 1.21e-08 1.17e-09 6.97e-12  1.6e-15 1.19e-19
1        3 1.040e+04 7.090e+07 1.020e-02 7.500e-01 6.91e-08 0.000362  0.00836   0.0626    0.203    0.435    0.259   0.0315 0.000207 6.64e-06 4.12e-08 4.27e-09 3.29e-11 1.02e-14 1.02e-18
1        3 1.040e+04 7.090e+07 1.380e-02 1.010e+00 1.68e-08 0.000119  0.00372   0.0373    0.145     0.42    0.338   0.0554 0.000476 1.67e-05 1.33e-07 1.48e-08 1.47e-10 6.18e-14 8.37e-18
1        3 1.040e+04 7.090e+07 1.870e-02 1.370e+00 3.74e-09 3.58e-05  0.00151   0.0203   0.0964    0.378    0.412   0.0909  0.00103 3.99e-05 4.08e-07 4.91e-08 6.27e-10 3.55e-13  6.5e-17
