                 r                   i01                i02                    i03                    i04 i05 i06 i07 i08
------------------ --------------------- ------------------ ---------------------- ---------------------- --- --- --- ---
1285502400000000.0     5952.210122178093 470875225.98052466     17545.711048773424 1.5084459369032702e-10 0.0 0.0 0.0 0.0
1385467200000000.0     3999.053001997529  278769739.3863234      7803.495163880884  4.846523849100424e-11 0.0 0.0 0.0 0.0
1485432000000000.0     2635.397535698591 171180025.04472977      3372.475185114359 1.2406221553663753e-11 0.0 0.0 0.0 0.0
1585396800000000.0    1403.3713692171448  108506474.4951332     2659.7577899895664 1.4137117228267704e-11 0.0 0.0 0.0 0.0
1685361600000000.0      902.906387560844  70724907.42050092      1329.259080402656    4.4916292725802e-12 0.0 0.0 0.0 0.0
1785326400000000.0      550.068543147085  47249999.69210304      816.0999543139307 2.3102887147739925e-12 0.0 0.0 0.0 0.0
1885291200000000.0     344.4886891229814 32268396.710943103      494.0774250499531 1.0840805144729316e-12 0.0 0.0 0.0 0.0
1985256000000000.0    235.02747226838193 22475667.588123094      258.4353113072315  3.344204268653225e-13 0.0 0.0 0.0 0.0
2085220800000000.0    149.22822058523073 15935459.954135494     174.19976815161604 1.9461030676678575e-13 0.0 0.0 0.0 0.0
2185185600000000.0    101.74965461320942 11481845.255420497      103.3362901202609   7.82220250782688e-14 0.0 0.0 0.0 0.0
2285150400000000.0     65.31352436310826  8395120.718763988      75.56383974819343  5.290838528882169e-14 0.0 0.0 0.0 0.0
2385115200000000.0      42.3090069318682  6221072.835899108      57.23687855553446 3.8478365873688224e-14 0.0 0.0 0.0 0.0
2485080000000000.0     28.11275035483386  4667115.229365921       42.9586202909025  2.685916207733869e-14 0.0 0.0 0.0 0.0
2585044800000000.0    18.640676085276294 3541235.3028155277      33.97683054841661 2.1098706201884657e-14 0.0 0.0 0.0 0.0
2685009600000000.0    13.084666020262262  2715256.587478898     24.305593555243412 1.2529993219170408e-14 0.0 0.0 0.0 0.0
2784974400000000.0     9.871357124741111 2102248.8662930345     15.189970539718951   5.17478904322571e-15 0.0 0.0 0.0 0.0
2884939200000000.0      7.03316826437407 1642389.8550165745      11.30249549221174 3.2994759986382258e-15 0.0 0.0 0.0 0.0
2984904000000000.0     5.185997488196652 1293959.6466359734       8.06545335373863 1.8748922728290997e-15 0.0 0.0 0.0 0.0
3084868800000000.0    3.8687659268259704 1027488.0604496404      5.796121455020915  1.074270972505996e-15 0.0 0.0 0.0 0.0
3184833600000000.0      3.00586849775025  821914.9642796232     3.8899947318954036  5.103957522532811e-16 0.0 0.0 0.0 0.0
3284798400000000.0     2.252552274256862  662023.3517766987      2.936393288488196 3.2495958363461996e-16 0.0 0.0 0.0 0.0
3384763200000000.0    1.7660799498012631  536706.2303834832     2.0465854170690387  1.671927033283927e-16 0.0 0.0 0.0 0.0
3484728000000000.0     1.363453415472561  437776.7520318169     1.5261597637281126 1.0180185722713795e-16 0.0 0.0 0.0 0.0
3584692800000000.0    1.0801654549437183 359146.40607045556     1.0917732298844232  5.509375602640054e-17 0.0 0.0 0.0 0.0
3684657600000000.0    0.8420446297127274   296247.943567573      0.831668262165122  3.477929796385424e-17 0.0 0.0 0.0 0.0
3784622400000000.0    0.6951894615214388 245627.86870326384     0.5647875858439608   1.62588592553109e-17 0.0 0.0 0.0 0.0
3884587200000000.0    0.5362468135978392  204654.6001097396     0.4635252374601478 1.2311676880665268e-17 0.0 0.0 0.0 0.0
3984552000000000.0    0.4557254382413534  171308.6663151636     0.3054562097681336  5.254859009192363e-18 0.0 0.0 0.0 0.0
4084516800000000.0    0.3718910889386946  144029.3972983837     0.2270210431194018 3.0424285587642722e-18 0.0 0.0 0.0 0.0
