       Root    IP i converge       t_e       t_r        ip        xi      i01     i02
py87i_p2.35  2.35 1        0 3.400e+05 7.100e+07 1.070e+01 7.860e+02 4.74e-08     1.0
py87i_p2.48  2.48 1        0 3.560e+05 7.100e+07 1.440e+01 1.060e+03 3.39e-08     1.0
py87i_p2.62  2.62 1        1 2.310e+05 7.100e+07 1.950e+01 1.440e+03 3.93e-08     1.0
py87i_p2.75  2.75 1        0 2.570e+05 7.100e+07 2.640e+01 1.950e+03 2.63e-08     1.0
py87i_p2.88  2.88 1        0 3.590e+05 7.100e+07 3.580e+01 2.630e+03 1.39e-08     1.0
py87i_p3.01  3.01 1        0 6.840e+05 7.100e+07 4.840e+01 3.570e+03 5.12e-09     1.0
py87i_p3.14  3.14 1        0 1.870e+06 7.100e+07 6.550e+01 4.820e+03 1.11e-09     1.0
py87i_p3.27  3.27 1        0 3.440e+06 7.100e+07 8.860e+01 6.530e+03  3.6e-10     1.0
py87i_p3.40  3.40 1        0 5.340e+06 7.100e+07 1.200e+02 8.830e+03 1.44e-10     1.0
py87i_p3.54  3.54 1        0 7.430e+06 7.100e+07 1.620e+02 1.190e+04 6.65e-11     1.0
py87i_p3.67  3.67 1        0 9.360e+06 7.100e+07 2.200e+02 1.620e+04 3.53e-11     1.0
py87i_p3.80  3.80 1        1 1.060e+07 7.100e+07 2.970e+02 2.190e+04 2.19e-11     1.0
py87i_p3.93  3.93 1        2 1.060e+07 7.100e+07 4.020e+02 2.960e+04 1.62e-11     1.0
py87i_p4.06  4.06 1        2 1.060e+07 7.100e+07 5.440e+02 4.010e+04  1.2e-11     1.0
py87i_p4.19  4.19 1        2 1.060e+07 7.100e+07 7.360e+02 5.420e+04 8.92e-12     1.0
py87i_p4.32  4.32 1        2 1.060e+07 7.100e+07 9.960e+02 7.330e+04  6.6e-12     1.0
py87i_p4.45  4.45 1        2 1.060e+07 7.100e+07 1.350e+03 9.920e+04 4.89e-12     1.0
py87i_p4.59  4.59 1        2 1.060e+07 7.100e+07 1.820e+03 1.340e+05 3.61e-12     1.0
py87i_p4.72  4.72 1        2 1.060e+07 7.100e+07 2.470e+03 1.820e+05 2.67e-12     1.0
py87i_p4.85  4.85 1        2 1.060e+07 7.100e+07 3.340e+03 2.460e+05 1.97e-12     1.0
py87i_p4.98  4.98 1        2 1.060e+07 7.100e+07 4.520e+03 3.320e+05 1.46e-12     1.0
py87i_p5.11  5.11 1        2 1.060e+07 7.100e+07 6.110e+03 4.500e+05 1.08e-12     1.0
py87i_p5.24  5.24 1        2 1.060e+07 7.100e+07 8.270e+03 6.090e+05 7.96e-13     1.0
py87i_p5.37  5.37 1        2 1.060e+07 7.100e+07 1.120e+04 8.230e+05 5.88e-13     1.0
py87i_p5.51  5.51 1        2 1.060e+07 7.100e+07 1.510e+04 1.110e+06 4.35e-13     1.0
py87i_p5.64  5.64 1        2 1.060e+07 7.100e+07 2.050e+04 1.510e+06 3.21e-13     1.0
py87i_p5.77  5.77 1        2 1.060e+07 7.100e+07 2.770e+04 2.040e+06 2.37e-13     1.0
py87i_p5.90  5.90 1        2 1.060e+07 7.100e+07 3.750e+04 2.760e+06 1.75e-13     1.0
py87i_p6.03  6.03 1        2 1.060e+07 7.100e+07 5.070e+04 3.730e+06 1.29e-13     1.0
py87i_p6.16  6.16 1        2 1.060e+07 7.100e+07 6.860e+04 5.050e+06 9.53e-14     1.0
py87i_p6.29  6.29 1        2 1.060e+07 7.100e+07 9.290e+04 6.840e+06 7.04e-14     1.0
py87i_p6.42  6.42 1        2 1.060e+07 7.100e+07 1.260e+05 9.250e+06 5.19e-14     1.0
py87i_p6.56  6.56 1        2 1.060e+07 7.100e+07 1.700e+05 1.250e+07 3.83e-14     1.0
py87i_p6.69  6.69 1        2 1.060e+07 7.100e+07 2.300e+05 1.690e+07 2.83e-14     1.0
py87i_p6.82  6.82 1        2 1.060e+07 7.100e+07 3.110e+05 2.290e+07 2.09e-14     1.0
py87i_p6.95  6.95 1        2 1.060e+07 7.100e+07 4.210e+05 3.100e+07 1.54e-14     1.0
py87i_p7.08  7.08 1        2 1.060e+07 7.100e+07 5.700e+05 4.200e+07 1.13e-14     1.0
py87i_p7.21  7.21 1        2 1.060e+07 7.100e+07 7.710e+05 5.680e+07 8.36e-15     1.0
py87i_p7.34  7.34 1        2 1.060e+07 7.100e+07 1.040e+06 7.680e+07 6.17e-15     1.0
py87i_p7.47  7.47 1        2 1.060e+07 7.100e+07 1.410e+06 1.040e+08 4.54e-15     1.0
py87i_p7.61  7.61 1        2 1.060e+07 7.100e+07 1.910e+06 1.410e+08 3.35e-15     1.0
py87i_p7.74  7.74 1        2 1.060e+07 7.100e+07 2.580e+06 1.900e+08 2.47e-15     1.0
py87i_p7.87  7.87 1        2 1.060e+07 7.100e+07 3.500e+06 2.570e+08 1.82e-15     1.0
py87i_p8.00  8.00 1        2 1.060e+07 7.100e+07 4.730e+06 3.480e+08 1.34e-15     1.0
