i converge       t_e       t_r        ip        xi      i01      i02     i03
1        3 1.040e+04 7.090e+07 2.970e+02 2.190e+04  4.2e-14 2.12e-06     1.0
1        3 1.040e+04 7.090e+07 4.020e+02 2.960e+04 2.29e-14 1.57e-06     1.0
1        3 1.040e+04 7.090e+07 5.440e+02 4.000e+04 1.25e-14 1.16e-06     1.0
1        3 1.040e+04 7.090e+07 7.370e+02 5.420e+04 6.84e-15 8.55e-07     1.0
1        3 1.040e+04 7.090e+07 9.970e+02 7.330e+04 3.74e-15 6.32e-07     1.0
1        3 1.040e+04 7.090e+07 1.350e+03 9.920e+04 2.04e-15 4.67e-07     1.0
1        3 1.040e+04 7.090e+07 1.820e+03 1.340e+05 1.11e-15 3.45e-07     1.0
1        3 1.040e+04 7.090e+07 2.470e+03 1.820e+05 6.08e-16 2.55e-07     1.0
1        3 1.040e+04 7.090e+07 3.340e+03 2.460e+05 3.32e-16 1.88e-07     1.0
1        3 1.040e+04 7.090e+07 4.520e+03 3.320e+05 1.81e-16 1.39e-07     1.0
1        3 1.040e+04 7.090e+07 6.120e+03 4.500e+05 9.87e-17 1.03e-07     1.0
1        3 1.040e+04 7.090e+07 8.280e+03 6.090e+05 5.38e-17  7.6e-08     1.0
1        3 1.040e+04 7.090e+07 1.120e+04 8.230e+05 2.94e-17 5.62e-08     1.0
1        3 1.040e+04 7.090e+07 1.510e+04 1.110e+06  1.6e-17 4.15e-08     1.0
1        3 1.040e+04 7.090e+07 2.050e+04 1.510e+06 8.71e-18 3.06e-08     1.0
1        3 1.040e+04 7.090e+07 2.770e+04 2.040e+06 4.74e-18 2.26e-08     1.0
1        3 1.040e+04 7.090e+07 3.750e+04 2.760e+06 2.58e-18 1.67e-08     1.0
1        3 1.040e+04 7.090e+07 5.070e+04 3.730e+06  1.4e-18 1.23e-08     1.0
1        3 1.040e+04 7.090e+07 6.870e+04 5.050e+06 7.58e-19 9.09e-09     1.0
1        3 1.040e+04 7.090e+07 9.290e+04 6.830e+06 4.11e-19  6.7e-09     1.0
1        3 1.040e+04 7.090e+07 1.260e+05 9.250e+06 2.23e-19 4.93e-09     1.0
1        3 1.040e+04 7.090e+07 1.700e+05 1.250e+07  1.2e-19 3.63e-09     1.0
1        3 1.040e+04 7.090e+07 2.300e+05 1.690e+07 5.66e-20 2.67e-09     1.0
1        3 1.040e+04 7.090e+07 3.110e+05 2.290e+07 3.07e-20 1.96e-09     1.0
1        3 1.040e+04 7.090e+07 4.210e+05 3.100e+07 1.66e-20 1.44e-09     1.0
1        3 1.040e+04 7.090e+07 5.700e+05 4.200e+07 1.03e-26 1.06e-09     1.0
1        3 1.040e+04 7.090e+07 7.720e+05 5.680e+07 1.03e-26 7.74e-10     1.0
1        3 1.040e+04 7.090e+07 1.040e+06 7.680e+07 1.03e-26 5.67e-10     1.0
1        3 1.040e+04 7.090e+07 1.410e+06 1.040e+08 1.03e-26 4.15e-10     1.0
1        3 1.040e+04 7.090e+07 1.910e+06 1.410e+08 1.03e-26 3.03e-10     1.0
1        3 1.040e+04 7.090e+07 2.590e+06 1.900e+08 1.03e-26 2.22e-10     1.0
1        3 1.040e+04 7.090e+07 3.500e+06 2.570e+08 1.03e-26 1.62e-10     1.0
1        3 1.040e+04 7.090e+07 4.730e+06 3.480e+08 1.03e-26 1.18e-10     1.0
