i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15
1        0 1.660e+04 7.090e+07 1.230e-03 9.040e-02 0.000453   0.0836    0.186    0.152    0.408    0.154   0.0154 0.000319 6.78e-07 9.44e-09 1.54e-11 7.26e-13 1.66e-15 8.38e-20    1e-20
1        0 1.720e+04 7.090e+07 1.660e-03 1.220e-01 0.000221   0.0486    0.139    0.133    0.426    0.222   0.0305 0.000851 2.25e-06 3.51e-08 7.19e-11 3.65e-12 1.08e-14 7.51e-19    1e-20
1        0 1.780e+04 7.090e+07 2.250e-03 1.650e-01 9.81e-05   0.0261   0.0955     0.11    0.414    0.297    0.056  0.00211 7.06e-06 1.22e-07 3.17e-10 1.72e-11 6.64e-14 6.35e-18    1e-20
1        0 1.840e+04 7.090e+07 3.040e-03 2.240e-01    4e-05   0.0129   0.0605   0.0838    0.372     0.37   0.0958  0.00491 2.11e-05 4.02e-07 1.33e-09 7.69e-11 3.89e-13 5.12e-17    1e-20
1        0 1.900e+04 7.090e+07 4.110e-03 3.030e-01 1.51e-05   0.0059   0.0351   0.0588     0.31    0.427    0.153   0.0107 6.03e-05 1.25e-06 5.37e-09 3.27e-10 2.19e-12 3.96e-16  2.3e-20
1        0 1.980e+04 7.090e+07 5.560e-03 4.100e-01 5.21e-06  0.00248   0.0186   0.0376    0.238    0.456    0.226   0.0217 0.000164 3.71e-06 2.07e-08 1.33e-09 1.18e-11 2.96e-15 2.38e-19
1        0 2.070e+04 7.090e+07 7.530e-03 5.540e-01 1.66e-06  0.00096  0.00897   0.0218    0.168    0.449    0.309   0.0411 0.000424 1.05e-05 7.59e-08 5.16e-09  6.1e-11 2.13e-14 2.37e-18
1        0 2.170e+04 7.090e+07 1.020e-02 7.500e-01 4.86e-07 0.000341  0.00394   0.0115    0.109    0.409    0.393   0.0724  0.00103 2.82e-05 2.65e-07 1.93e-08 3.02e-10 1.46e-13 2.27e-17
1        0 2.280e+04 7.090e+07 1.380e-02 1.020e+00  1.3e-07 0.000111  0.00159  0.00556   0.0656    0.345    0.462    0.118  0.00235 7.25e-05 8.76e-07 6.92e-08 1.42e-09 9.62e-13 2.08e-16
1        0 2.390e+04 7.090e+07 1.860e-02 1.370e+00 3.16e-08 3.35e-05 0.000588   0.0025   0.0368    0.271    0.505     0.18  0.00501 0.000178 2.75e-06 2.39e-07 6.39e-09 6.02e-12 1.81e-15
1        0 2.500e+04 7.090e+07 2.520e-02 1.860e+00 7.06e-09 9.29e-06 0.000202  0.00105   0.0193    0.199    0.516    0.255     0.01 0.000422 8.21e-06 8.02e-07 2.76e-08 3.61e-11 1.51e-14
1        0 2.630e+04 7.090e+07 3.410e-02 2.510e+00 1.46e-09 2.39e-06 6.37e-05 0.000406  0.00944    0.136    0.494     0.34   0.0189 0.000975 2.39e-05 2.64e-06 1.17e-07 2.13e-10 1.24e-13
1        0 2.780e+04 7.090e+07 4.620e-02 3.400e+00 2.79e-10 5.69e-07 1.85e-05 0.000143   0.0043   0.0876    0.444    0.428   0.0341  0.00221 6.81e-05 8.63e-06  4.9e-07 1.26e-09 1.03e-12
1        0 2.970e+04 7.090e+07 6.250e-02 4.600e+00 4.92e-11 1.25e-07  4.9e-06 4.58e-05  0.00181   0.0525    0.374    0.507   0.0588  0.00492 0.000194 2.83e-05 2.08e-06 7.54e-09 8.68e-12
1        0 3.240e+04 7.090e+07 8.460e-02 6.230e+00 7.91e-12 2.51e-08 1.17e-06  1.3e-05 0.000696   0.0291    0.294    0.567   0.0978   0.0109 0.000556  9.4e-05 9.12e-06 4.72e-08 7.75e-11
1        0 3.610e+04 7.090e+07 1.140e-01 8.430e+00 1.12e-12 4.48e-09 2.48e-07 3.24e-06 0.000242   0.0147    0.214     0.59    0.156   0.0239  0.00162 0.000319 4.14e-05 3.11e-07 7.38e-10
1        0 4.150e+04 7.090e+07 1.550e-01 1.140e+01  1.3e-13 6.67e-10 4.44e-08 6.82e-07 7.32e-05  0.00666     0.14     0.56    0.235   0.0518  0.00484  0.00111 0.000199 2.21e-06 7.74e-09
1        0 4.980e+04 7.090e+07 2.090e-01 1.540e+01 1.08e-14 7.41e-11 6.27e-09 1.16e-07 1.85e-05  0.00257   0.0791    0.465    0.326    0.108   0.0145  0.00389 0.000993 1.68e-05 8.93e-08
1        0 6.340e+04 7.090e+07 2.830e-01 2.090e+01 5.19e-16 5.12e-12 6.21e-10 1.46e-08 3.63e-06 0.000785   0.0359     0.31    0.387    0.206   0.0421   0.0131    0.005 0.000134 1.12e-06
1        0 8.260e+04 7.090e+07 3.830e-01 2.820e+01 4.94e-18 2.52e-13  4.9e-11 1.63e-09 6.41e-07 0.000205   0.0133    0.161    0.357    0.311   0.0985   0.0363   0.0211 0.000913 1.22e-05
1        0 1.030e+05 7.090e+07 5.190e-01 3.820e+01 2.64e-18 1.37e-14 4.18e-12 2.11e-10 1.29e-07 5.44e-05  0.00458   0.0725    0.259    0.349    0.167   0.0773   0.0659  0.00447 9.36e-05
1        0 1.240e+05 7.090e+07 7.020e-01 5.170e+01    1e-20 6.91e-16 3.66e-13 2.84e-11 2.64e-08 1.36e-05  0.00141   0.0283    0.153    0.302    0.212     0.13    0.157   0.0163 0.000521
1        0 1.360e+05 7.090e+07 9.500e-01 7.000e+01    1e-20    1e-20 3.08e-14 3.45e-12  4.5e-09 2.91e-06 0.000384   0.0101   0.0768    0.212    0.208     0.17    0.279   0.0416   0.0019
1        0 1.450e+05 7.090e+07 1.290e+00 9.470e+01    1e-20    1e-20 2.23e-15 3.46e-13 6.19e-10 5.13e-07 8.74e-05  0.00303   0.0321    0.122    0.166    0.183    0.403    0.085  0.00548
1        0 1.710e+05 7.090e+07 1.740e+00 1.280e+02    1e-20    1e-20 2.24e-16 2.88e-14 7.19e-11 6.91e-08 1.41e-05 0.000627  0.00953   0.0514    0.101    0.158    0.503    0.161   0.0156
1        0 2.210e+05 7.090e+07 2.350e+00 1.730e+02    1e-20    1e-20    1e-20 2.22e-15 5.99e-12 6.22e-09 1.49e-06 8.47e-05   0.0019   0.0149   0.0445    0.105    0.523    0.269   0.0418
1        0 2.890e+05 7.090e+07 3.180e+00 2.340e+02    1e-20    1e-20    1e-20 1.32e-16 3.15e-13 3.66e-10 1.08e-07 8.38e-06 0.000279  0.00327   0.0151   0.0567    0.452    0.378   0.0946
1        0 3.100e+05 7.090e+07 4.310e+00 3.170e+02    1e-20    1e-20    1e-20 1.09e-16    2e-14 3.01e-11 1.18e-08 1.26e-06 5.81e-05 0.000952   0.0062   0.0329    0.368    0.437    0.155
1        2 3.490e+05 7.090e+07 5.830e+00 4.290e+02    1e-20    1e-20    1e-20 6.47e-17 1.04e-15 1.89e-12 9.86e-10 1.46e-07 9.49e-06 0.000222   0.0021   0.0165    0.269    0.469    0.243
1        0 3.030e+05 7.090e+07 7.880e+00 5.810e+02    1e-20    1e-20    1e-20 4.89e-17 1.45e-16 2.86e-13 2.06e-10    4e-08 3.35e-06 9.94e-05  0.00117   0.0111    0.219    0.469      0.3
1        0 3.410e+05 7.090e+07 1.070e+01 7.860e+02 8.16e-19 2.13e-17 3.34e-17    1e-20    1e-20 1.57e-14 1.51e-11 4.05e-09 4.79e-07 2.03e-05 0.000346  0.00485    0.141    0.441    0.413
1        2 3.310e+05 7.090e+07 1.440e+01 1.060e+03 1.63e-18 4.43e-17 6.51e-17    1e-20    1e-20 1.45e-15 1.86e-12 6.73e-10 1.07e-07 6.02e-06 0.000136  0.00252   0.0966    0.402    0.499
1        2 2.310e+05 7.090e+07 1.950e+01 1.440e+03    1e-20    1e-20    1e-20    1e-20 7.25e-17 3.93e-16 7.71e-13 3.64e-10 6.87e-08 4.54e-06 0.000114  0.00224   0.0888    0.391    0.518
1        0 2.570e+05 7.090e+07 2.640e+01 1.950e+03    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 5.48e-14  3.5e-11 9.28e-09 8.62e-07  3.1e-05 0.000875   0.0506    0.324    0.624
1        0 3.590e+05 7.090e+07 3.580e+01 2.630e+03    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20  1.4e-15 1.24e-12 5.03e-10 7.32e-08 4.33e-06 0.000211   0.0211    0.231    0.748
1        0 6.780e+05 7.090e+07 4.840e+01 3.570e+03    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 9.33e-15 6.17e-12 1.69e-09 2.21e-07 2.54e-05  0.00557    0.129    0.866
1        2 9.750e+05 7.090e+07 6.550e+01 4.820e+03 4.11e-19 1.21e-17 1.54e-17 1.19e-16  7.5e-17 4.66e-17    1e-20 2.34e-16 2.18e-13 9.66e-11 2.35e-08 4.91e-06  0.00194   0.0788    0.919
1        2 9.750e+05 7.090e+07 8.860e+01 6.530e+03  1.3e-19 3.85e-18 4.85e-18 3.82e-17 2.37e-17 4.03e-17    1e-20    1e-20 3.64e-14 2.18e-11 7.15e-09 2.03e-06  0.00108   0.0595    0.939
1        2 9.750e+05 7.090e+07 1.200e+02 8.830e+03    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 8.54e-17 5.96e-15 4.89e-12 2.17e-09 8.33e-07 0.000602   0.0447    0.955
1        2 9.750e+05 7.090e+07 1.620e+02 1.190e+04    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 6.32e-17 9.41e-16 1.09e-12 6.56e-10  3.4e-07 0.000333   0.0334    0.966
1        2 9.750e+05 7.090e+07 2.190e+02 1.620e+04 4.18e-20 1.26e-18 1.55e-18 1.26e-17  7.6e-18  1.3e-17 2.46e-17 5.02e-17 2.61e-16 2.43e-13 1.97e-10 1.39e-07 0.000183   0.0249    0.975
1        2 9.750e+05 7.090e+07 2.970e+02 2.190e+04    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 6.43e-17 5.39e-14 5.93e-11 5.63e-08 0.000101   0.0185    0.981
1        2 9.750e+05 7.090e+07 4.020e+02 2.960e+04    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.19e-14 1.78e-11 2.28e-08 5.53e-05   0.0138    0.986
1        2 9.750e+05 7.090e+07 5.440e+02 4.000e+04    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 2.61e-15 5.32e-12 9.25e-09 3.03e-05   0.0102     0.99
1        2 9.750e+05 7.090e+07 7.360e+02 5.420e+04    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 5.07e-16 1.59e-12 3.75e-09 1.66e-05  0.00757    0.992
1        2 9.750e+05 7.090e+07 9.950e+02 7.330e+04    1e-20 1.71e-19 2.07e-19 1.73e-18 1.02e-18 1.74e-18 3.31e-18 6.74e-18 1.26e-17 1.52e-16 4.76e-13 1.52e-09 9.09e-06   0.0056    0.994
1        2 9.750e+05 7.090e+07 1.350e+03 9.920e+04    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.42e-13 6.13e-10 4.97e-06  0.00415    0.996
1        2 9.750e+05 7.090e+07 1.820e+03 1.340e+05    1e-20 2.68e-19 3.23e-19  2.7e-18  1.6e-18 2.72e-18 5.17e-18 1.05e-17 1.96e-17 4.25e-17 4.26e-14 2.48e-10 2.72e-06  0.00307    0.997
1        2 9.750e+05 7.090e+07 2.460e+03 1.820e+05    1e-20 2.26e-20 2.73e-20 2.28e-19 1.35e-19  2.3e-19 4.37e-19 8.89e-19 1.66e-18 4.44e-18 1.27e-14    1e-10 1.49e-06  0.00227    0.998
1        2 9.750e+05 7.090e+07 3.330e+03 2.460e+05    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 3.78e-15 4.04e-11 8.12e-07  0.00168    0.998
1        2 9.750e+05 7.090e+07 4.510e+03 3.320e+05    1e-20 2.46e-20 2.96e-20 2.48e-19 1.46e-19 2.49e-19 4.73e-19 9.64e-19  1.8e-18 3.38e-18 1.14e-15 1.63e-11 4.44e-07  0.00124    0.999
1        2 9.750e+05 7.090e+07 6.110e+03 4.500e+05    1e-20    1e-20    1e-20 3.43e-20 2.02e-20 3.45e-20 6.55e-20 1.33e-19 2.49e-19 4.73e-19 3.38e-16 6.59e-12 2.42e-07 0.000918    0.999
1        2 9.750e+05 7.090e+07 8.260e+03 6.090e+05    1e-20    1e-20    1e-20 6.46e-20 3.81e-20 6.49e-20 1.23e-19 2.51e-19 4.68e-19 8.65e-19 1.02e-16 2.66e-12 1.32e-07 0.000678    0.999
1        2 9.750e+05 7.090e+07 1.120e+04 8.230e+05    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 2.53e-17 1.08e-12 7.24e-08 0.000502    0.999
1        2 9.750e+05 7.090e+07 1.510e+04 1.110e+06    1e-20 1.93e-20 2.32e-20 1.95e-19 1.15e-19 1.96e-19 3.72e-19 7.58e-19 1.41e-18  2.6e-18 1.41e-17 4.34e-13 3.96e-08 0.000371      1.0
1        2 9.750e+05 7.090e+07 2.050e+04 1.510e+06    1e-20 1.71e-20 2.05e-20 1.73e-19 1.02e-19 1.73e-19 3.29e-19  6.7e-19 1.25e-18  2.3e-18 7.19e-18 1.75e-13 2.16e-08 0.000274      1.0
1        2 9.750e+05 7.090e+07 2.770e+04 2.040e+06    1e-20    1e-20    1e-20 4.31e-20 2.54e-20 4.32e-20 8.22e-20 1.67e-19 3.12e-19 5.74e-19 1.93e-18 7.08e-14 1.18e-08 0.000203      1.0
1        2 9.750e+05 7.090e+07 3.750e+04 2.760e+06    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 2.86e-14 6.45e-09  0.00015      1.0
1        2 9.750e+05 7.090e+07 5.070e+04 3.730e+06    1e-20    1e-20    1e-20 2.72e-20  1.6e-20 2.73e-20 5.19e-20 1.06e-19 1.97e-19 3.63e-19 7.83e-19 1.15e-14 3.52e-09 0.000111      1.0
1        2 9.750e+05 7.090e+07 6.860e+04 5.050e+06    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 4.65e-15 1.92e-09 8.18e-05      1.0
1        2 9.750e+05 7.090e+07 9.280e+04 6.840e+06    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.88e-15 1.05e-09 6.04e-05      1.0
1        2 9.750e+05 7.090e+07 1.260e+05 9.250e+06    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 7.59e-16 5.74e-10 4.47e-05      1.0
1        2 9.750e+05 7.090e+07 1.700e+05 1.250e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 3.06e-16 3.13e-10  3.3e-05      1.0
1        2 9.750e+05 7.090e+07 2.300e+05 1.690e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.24e-16 1.71e-10 2.44e-05      1.0
1        2 9.750e+05 7.090e+07 3.110e+05 2.290e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 4.99e-17 9.36e-11  1.8e-05      1.0
1        2 9.750e+05 7.090e+07 4.210e+05 3.100e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 2.02e-17 5.11e-11 1.33e-05      1.0
1        2 9.750e+05 7.090e+07 5.700e+05 4.200e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 8.13e-18 2.79e-11 9.85e-06      1.0
1        2 9.750e+05 7.090e+07 7.710e+05 5.680e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 3.28e-18 1.52e-11 7.28e-06      1.0
1        2 9.750e+05 7.090e+07 1.040e+06 7.680e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.33e-18 8.33e-12 5.38e-06      1.0
1        2 9.750e+05 7.090e+07 1.410e+06 1.040e+08    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 5.35e-19 4.55e-12 3.98e-06      1.0
1        2 9.750e+05 7.090e+07 1.910e+06 1.410e+08    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 2.16e-19 2.48e-12 2.94e-06      1.0
1        2 9.750e+05 7.090e+07 2.580e+06 1.900e+08    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 8.73e-20 1.36e-12 2.17e-06      1.0
1        2 9.750e+05 7.090e+07 3.490e+06 2.570e+08    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 3.52e-20 7.41e-13 1.61e-06      1.0
1        2 9.750e+05 7.090e+07 4.730e+06 3.480e+08    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.42e-20 4.05e-13 1.19e-06      1.0
