i converge       t_e       t_r        ip        xi      i01     i02
1        2 1.060e+07 7.100e+07 2.470e+03 1.820e+05 2.67e-12     1.0
1        2 1.060e+07 7.100e+07 3.340e+03 2.460e+05 1.97e-12     1.0
1        2 1.060e+07 7.100e+07 4.520e+03 3.320e+05 1.46e-12     1.0
1        2 1.060e+07 7.100e+07 6.110e+03 4.500e+05 1.08e-12     1.0
1        2 1.060e+07 7.100e+07 8.270e+03 6.090e+05 7.96e-13     1.0
1        2 1.060e+07 7.100e+07 1.120e+04 8.230e+05 5.88e-13     1.0
1        2 1.060e+07 7.100e+07 1.510e+04 1.110e+06 4.35e-13     1.0
1        2 1.060e+07 7.100e+07 2.050e+04 1.510e+06 3.21e-13     1.0
1        2 1.060e+07 7.100e+07 2.770e+04 2.040e+06 2.37e-13     1.0
1        2 1.060e+07 7.100e+07 3.750e+04 2.760e+06 1.75e-13     1.0
1        2 1.060e+07 7.100e+07 5.070e+04 3.730e+06 1.29e-13     1.0
1        2 1.060e+07 7.100e+07 6.860e+04 5.050e+06 9.53e-14     1.0
1        2 1.060e+07 7.100e+07 9.290e+04 6.840e+06 7.04e-14     1.0
1        2 1.060e+07 7.100e+07 1.260e+05 9.250e+06 5.19e-14     1.0
1        2 1.060e+07 7.100e+07 1.700e+05 1.250e+07 3.83e-14     1.0
1        2 1.060e+07 7.100e+07 2.300e+05 1.690e+07 2.83e-14     1.0
1        2 1.060e+07 7.100e+07 3.110e+05 2.290e+07 2.09e-14     1.0
1        2 1.060e+07 7.100e+07 4.210e+05 3.100e+07 1.54e-14     1.0
1        2 1.060e+07 7.100e+07 5.700e+05 4.200e+07 1.13e-14     1.0
1        2 1.060e+07 7.100e+07 7.710e+05 5.680e+07 8.36e-15     1.0
1        2 1.060e+07 7.100e+07 1.040e+06 7.680e+07 6.17e-15     1.0
1        2 1.060e+07 7.100e+07 1.410e+06 1.040e+08 4.54e-15     1.0
1        2 1.060e+07 7.100e+07 1.910e+06 1.410e+08 3.35e-15     1.0
1        2 1.060e+07 7.100e+07 2.580e+06 1.900e+08 2.47e-15     1.0
1        2 1.060e+07 7.100e+07 3.500e+06 2.570e+08 1.82e-15     1.0
1        2 1.060e+07 7.100e+07 4.730e+06 3.480e+08 1.34e-15     1.0
