i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- --------
1        0 1.590e+03 7.090e+07 4.730e-07 3.480e-05    0.644    0.353  0.00246  7.7e-06  9.7e-08 1.06e-12 2.18e-18
1        0 1.620e+03 7.090e+07 6.400e-07 4.710e-05    0.604    0.393   0.0032 1.02e-05  1.5e-07 1.94e-12 4.72e-18
1        0 1.650e+03 7.090e+07 8.660e-07 6.380e-05    0.561    0.435  0.00416 1.35e-05 2.31e-07 3.55e-12 1.03e-17
1        0 1.690e+03 7.090e+07 1.170e-06 8.630e-05    0.516    0.478  0.00538 1.78e-05 3.57e-07 6.52e-12 2.25e-17
1        0 1.720e+03 7.090e+07 1.580e-06 1.170e-04    0.471    0.522  0.00694 2.35e-05  5.5e-07  1.2e-11 4.94e-17
1        0 1.760e+03 7.090e+07 2.140e-06 1.580e-04    0.425    0.566  0.00892 3.11e-05 8.48e-07 2.22e-11 1.09e-16
1        0 1.810e+03 7.090e+07 2.900e-06 2.140e-04    0.379    0.609   0.0114 4.11e-05 1.31e-06 4.12e-11 2.44e-16
1        0 1.850e+03 7.090e+07 3.920e-06 2.890e-04    0.334    0.651   0.0146 5.46e-05 2.02e-06 7.69e-11 5.51e-16
1        0 1.910e+03 7.090e+07 5.310e-06 3.910e-04    0.291     0.69   0.0186 7.29e-05 3.14e-06 1.45e-10 1.26e-15
1        0 1.960e+03 7.090e+07 7.190e-06 5.290e-04     0.25    0.726   0.0237  9.8e-05 4.89e-06 2.77e-10 2.94e-15
1        0 2.020e+03 7.090e+07 9.720e-06 7.160e-04    0.212    0.758   0.0302 0.000133 7.68e-06 5.35e-10    7e-15
1        0 2.090e+03 7.090e+07 1.320e-05 9.690e-04    0.176    0.785   0.0384 0.000183 1.22e-05 1.05e-09 1.71e-14
1        0 2.170e+03 7.090e+07 1.780e-05 1.310e-03    0.144    0.806   0.0489 0.000255 1.95e-05 2.11e-09 4.28e-14
1        0 2.250e+03 7.090e+07 2.410e-05 1.770e-03    0.116    0.821   0.0625 0.000362 3.16e-05 4.32e-09 1.11e-13
1        0 2.350e+03 7.090e+07 3.260e-05 2.400e-03   0.0914    0.828   0.0799 0.000526 5.19e-05 9.08e-09 2.98e-13
1        0 2.460e+03 7.090e+07 4.410e-05 3.250e-03   0.0705    0.826    0.102 0.000781 8.65e-05 1.96e-08 8.32e-13
1        0 2.590e+03 7.090e+07 5.970e-05 4.390e-03    0.053    0.814    0.131  0.00119 0.000147 4.37e-08 2.43e-12
1        0 2.740e+03 7.090e+07 8.070e-05 5.940e-03    0.039    0.791    0.168  0.00185 0.000252 9.95e-08 7.34e-12
1        0 2.910e+03 7.090e+07 1.090e-04 8.040e-03   0.0278    0.754    0.215  0.00295 0.000438 2.32e-07  2.3e-11
1        0 3.120e+03 7.090e+07 1.480e-04 1.090e-02   0.0192    0.703    0.272  0.00479 0.000772 5.58e-07 7.52e-11
1        0 3.390e+03 7.090e+07 2.000e-04 1.470e-02   0.0128    0.637    0.341  0.00786  0.00137 1.37e-06 2.54e-10
1        0 3.730e+03 7.090e+07 2.700e-04 1.990e-02  0.00821    0.557    0.419    0.013  0.00245 3.42e-06  8.9e-10
1        0 4.180e+03 7.090e+07 3.660e-04 2.700e-02  0.00502    0.467    0.502   0.0217   0.0044 8.77e-06 3.24e-09
1        0 4.830e+03 7.090e+07 4.950e-04 3.650e-02  0.00288    0.369    0.584   0.0362  0.00805 2.34e-05 1.25e-08
1        0 5.760e+03 7.090e+07 6.700e-04 4.930e-02  0.00155    0.274    0.649   0.0604   0.0149 6.46e-05 5.15e-08
1        0 1.580e+04 7.090e+07 9.070e-04 6.680e-02 0.000493    0.128    0.661    0.151   0.0587 0.000646 1.28e-06
1        0 1.660e+04 7.090e+07 1.230e-03 9.040e-02 0.000273   0.0904    0.629    0.188   0.0901  0.00137 3.77e-06
1        0 1.720e+04 7.090e+07 1.660e-03 1.220e-01 0.000145   0.0615    0.575    0.226    0.134  0.00283 1.07e-05
1        0 1.780e+04 7.090e+07 2.250e-03 1.650e-01 7.42e-05     0.04    0.501    0.259    0.194  0.00562 2.92e-05
1        0 1.840e+04 7.090e+07 3.040e-03 2.240e-01 3.61e-05   0.0248    0.414     0.28     0.27   0.0108 7.69e-05
1        0 1.900e+04 7.090e+07 4.110e-03 3.030e-01 1.68e-05   0.0145    0.322    0.285    0.359   0.0197 0.000194
1        0 1.980e+04 7.090e+07 5.560e-03 4.100e-01 7.51e-06  0.00804    0.235     0.27    0.452   0.0344  0.00047
1        0 2.070e+04 7.090e+07 7.530e-03 5.540e-01 3.23e-06  0.00423    0.161    0.239    0.537   0.0569  0.00108
1        0 2.170e+04 7.090e+07 1.020e-02 7.500e-01 1.34e-06  0.00212    0.104    0.198    0.605   0.0893  0.00236
1        0 2.280e+04 7.090e+07 1.380e-02 1.020e+00 5.33e-07  0.00101   0.0632    0.154    0.644    0.133  0.00488
1        0 2.390e+04 7.090e+07 1.860e-02 1.370e+00 2.01e-07 0.000462   0.0363    0.113    0.652    0.188  0.00961
1        0 2.500e+04 7.090e+07 2.520e-02 1.860e+00 7.22e-08   0.0002   0.0198   0.0795     0.63    0.253    0.018
1        0 2.630e+04 7.090e+07 3.410e-02 2.510e+00 2.52e-08 8.37e-05   0.0103   0.0528     0.58    0.325   0.0323
1        0 2.780e+04 7.090e+07 4.620e-02 3.400e+00 8.57e-09 3.38e-05  0.00506    0.033    0.507    0.399   0.0557
1        0 2.970e+04 7.090e+07 6.250e-02 4.600e+00 2.87e-09 1.32e-05  0.00234   0.0193    0.419    0.467   0.0921
1        0 3.240e+04 7.090e+07 8.460e-02 6.230e+00 9.48e-10 4.95e-06  0.00101   0.0104    0.324    0.518    0.146
1        0 3.610e+04 7.090e+07 1.140e-01 8.430e+00 3.03e-10 1.76e-06 0.000399  0.00513    0.233    0.541    0.221
1        0 4.150e+04 7.090e+07 1.550e-01 1.140e+01 8.95e-11 5.73e-07  0.00014  0.00224    0.152    0.526    0.319
