        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
2.058e+13   18      0        0  5.53e+07  0.00e+00  5.53e+07  2.21e+40  3.18e-16  1.48e+08  1.38e+04  1.38e+04  1.81e+01 -2.79e+01  3.81e+04  3.81e+04  6.09e-04  5.54e+32  5.54e+32  5.44e+32  7.71e+06  1.01e+03  3.59e+06  1.00e-01  0.00e+00  0.00e+00 
2.410e+13   19      0        0  5.65e+07  0.00e+00  5.65e+07  3.56e+40  2.27e-16  1.06e+08  1.35e+04  1.35e+04  3.16e+01 -1.27e+01  3.81e+04  3.81e+04  4.45e-04  4.54e+32  4.54e+32  4.54e+32  7.70e+06  1.03e+03  3.58e+06  2.29e-01  0.00e+00  0.00e+00 
2.823e+13   20      0        0  5.75e+07  0.00e+00  5.75e+07  5.72e+40  1.63e-16  7.58e+07  1.31e+04  1.32e+04  6.92e+01  3.99e+02  3.80e+04  3.80e+04  3.24e-04  3.79e+32  3.79e+32  3.80e+32  7.70e+06  1.04e+03  3.58e+06  8.00e-01  0.00e+00  0.00e+00 
3.306e+13   21      0        0  5.84e+07  0.00e+00  5.84e+07  9.19e+40  1.17e-16  5.45e+07  1.27e+04  1.27e+04  3.20e+01  1.03e+02  3.80e+04  3.80e+04  2.37e-04  3.22e+32  3.22e+32  3.22e+32  7.70e+06  1.06e+03  3.58e+06  4.91e-01  0.00e+00  0.00e+00 
3.873e+13   22      0        0  5.91e+07  0.00e+00  5.91e+07  1.48e+41  8.43e-17  3.92e+07  1.22e+04  1.23e+04  2.85e+01  9.10e+01  3.80e+04  3.80e+04  1.73e-04  2.74e+32  2.74e+32  2.75e+32  7.70e+06  1.07e+03  3.58e+06  3.12e-01  0.00e+00  0.00e+00 
4.536e+13   23      0        0  5.98e+07  0.00e+00  5.98e+07  2.37e+41  6.09e-17  2.83e+07  1.18e+04  1.17e+04  1.01e+01  3.65e+01  3.80e+04  3.80e+04  1.26e-04  2.38e+32  2.38e+32  2.36e+32  7.70e+06  1.08e+03  3.58e+06  2.70e-01  0.00e+00  0.00e+00 
5.313e+13   24      0        0  6.03e+07  0.00e+00  6.03e+07  3.81e+41  4.40e-17  2.05e+07  1.12e+04  1.12e+04 -5.80e+00  2.42e+00  3.80e+04  3.80e+04  9.18e-05  2.04e+32  2.04e+32  2.03e+32  7.69e+06  1.08e+03  3.57e+06  1.10e-01  0.00e+00  0.00e+00 
6.223e+13   25      0        0  6.08e+07  0.00e+00  6.08e+07  6.13e+41  3.18e-17  1.48e+07  1.07e+04  1.07e+04 -6.46e+00  4.54e+00  3.80e+04  3.80e+04  6.69e-05  1.77e+32  1.77e+32  1.76e+32  7.69e+06  1.09e+03  3.57e+06  2.52e-01  0.00e+00  0.00e+00 
7.289e+13   26      0        0  6.12e+07  0.00e+00  6.12e+07  9.85e+41  2.31e-17  1.07e+07  1.02e+04  1.02e+04 -2.13e+00 -1.57e+01  3.79e+04  3.80e+04  4.88e-05  1.54e+32  1.54e+32  1.53e+32  7.69e+06  1.09e+03  3.57e+06  2.08e-01  0.00e+00  0.00e+00 
8.538e+13   27      0        0  6.16e+07  0.00e+00  6.16e+07  1.58e+42  1.67e-17  7.78e+06  9.73e+03  9.63e+03  4.47e+01  1.10e+02  3.79e+04  3.80e+04  3.56e-05  1.36e+32  1.36e+32  1.34e+32  7.69e+06  1.10e+03  3.57e+06  3.44e-01  0.00e+00  0.00e+00 
1.000e+14   28     -1        0  6.19e+07  0.00e+00  6.19e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.171e+14   29     -1        0  6.21e+07  0.00e+00  6.21e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
