        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
2.058e+13   18      0        0  5.53e+07  0.00e+00  5.53e+07  2.21e+40  3.18e-16  1.30e+08  1.47e+04  1.47e+04 -4.73e+01  3.44e+01  3.96e+04  3.96e+04  5.35e-04  6.53e+32  6.53e+32  6.47e+32  1.00e+07  1.20e+03  3.87e+06  2.09e-01  0.00e+00  0.00e+00 
2.410e+13   19      0        0  5.65e+07  0.00e+00  5.65e+07  3.56e+40  2.27e-16  9.13e+07  1.45e+04  1.45e+04  1.57e+01  7.73e+01  3.95e+04  3.96e+04  3.91e-04  5.13e+32  5.13e+32  5.10e+32  1.00e+07  1.22e+03  3.87e+06  4.02e-01  0.00e+00  0.00e+00 
2.823e+13   20      0        0  5.75e+07  0.00e+00  5.75e+07  5.72e+40  1.63e-16  6.54e+07  1.42e+04  1.42e+04 -5.37e+01  2.64e+01  3.95e+04  3.95e+04  2.85e-04  4.19e+32  4.19e+32  4.22e+32  1.00e+07  1.24e+03  3.86e+06  4.42e-01  0.00e+00  0.00e+00 
3.306e+13   21      0        0  5.84e+07  0.00e+00  5.84e+07  9.19e+40  1.17e-16  4.69e+07  1.40e+04  1.40e+04 -1.92e+01  1.16e+01  3.95e+04  3.95e+04  2.08e-04  3.49e+32  3.49e+32  3.48e+32  1.00e+07  1.25e+03  3.86e+06  1.13e-01  0.00e+00  0.00e+00 
3.873e+13   22      0        0  5.91e+07  0.00e+00  5.91e+07  1.48e+41  8.43e-17  3.37e+07  1.37e+04  1.37e+04 -4.15e-02 -7.95e+01  3.95e+04  3.95e+04  1.51e-04  2.91e+32  2.91e+32  2.93e+32  1.00e+07  1.27e+03  3.86e+06  3.60e-01  0.00e+00  0.00e+00 
4.536e+13   23      0        0  5.98e+07  0.00e+00  5.98e+07  2.37e+41  6.09e-17  2.44e+07  1.34e+04  1.34e+04 -2.85e+00  8.54e+00  3.95e+04  3.95e+04  1.10e-04  2.48e+32  2.48e+32  2.48e+32  1.00e+07  1.28e+03  3.86e+06  1.63e-01  0.00e+00  0.00e+00 
5.313e+13   24      0        1  6.03e+07  0.00e+00  6.03e+07  3.81e+41  4.40e-17  1.80e+07  1.34e+04  1.30e+04 -1.49e+01 -1.52e+01  3.95e+04  3.95e+04  8.05e-05  2.68e+32  2.68e+32  2.33e+32  1.00e+07  1.29e+03  3.86e+06  2.29e-01  0.00e+00  0.00e+00 
6.223e+13   25      0        0  6.08e+07  0.00e+00  6.08e+07  6.13e+41  3.18e-17  1.27e+07  1.25e+04  1.25e+04 -7.34e+00 -5.34e+00  3.95e+04  3.95e+04  5.87e-05  1.80e+32  1.80e+32  1.80e+32  1.00e+07  1.29e+03  3.86e+06  2.40e-01  0.00e+00  0.00e+00 
7.289e+13   26      0        0  6.12e+07  0.00e+00  6.12e+07  9.85e+41  2.31e-17  9.20e+06  1.20e+04  1.20e+04 -2.66e+01  2.81e+01  3.94e+04  3.95e+04  4.28e-05  1.55e+32  1.55e+32  1.56e+32  1.00e+07  1.30e+03  3.86e+06  4.31e-01  0.00e+00  0.00e+00 
8.538e+13   27      0        0  6.16e+07  0.00e+00  6.16e+07  1.58e+42  1.67e-17  6.67e+06  1.14e+04  1.15e+04 -2.40e+01 -7.69e+00  3.94e+04  3.94e+04  3.12e-05  1.35e+32  1.35e+32  1.36e+32  1.00e+07  1.31e+03  3.85e+06  2.81e-01  0.00e+00  0.00e+00 
1.000e+14   28     -1        0  6.19e+07  0.00e+00  6.19e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.171e+14   29     -1        0  6.21e+07  0.00e+00  6.21e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
